Category,Title,Description,URL
business,来週のドル・円軟調か、日銀タカ派的なサプライズあれば140円割れも - ブルームバーグ,来週のドル・円は下落傾向が続きそうだ。市場の焦点は、日本銀行の植田和男総裁の講演や12月の金融政策決定会合の主な意見で、タカ派的な内容に対して円高で反応するリスクがある。米国のインフレ鈍化傾向を背景にしたドル安基調も続きそうだ。,https://www.bloomberg.co.jp/news/articles/2023-12-22/S61O84T0G1KW00
business,日本航空が不適切整備 記録も削除、業務改善勧告へ―国交省 - 時事通信ニュース,日本航空の国内線の一部で不適切な整備が行われていたとして、国土交通省は２２日、整備を実施した同社のグループ会社「ＪＡＬエンジニアリング」に業務改善勧告を出す方針を固めた。同省への取材で分かった。,https://www.jiji.com/jc/article?k=2023122200634&g=eco
business,住生、シンガポール生保のシングライフを子会社化－1700億円出資 - ブルームバーグ,住友生命保険は22日、シンガポール・ライフ・ホールディングス（シングライフ）に追加出資し、子会社化すると正式発表した。,https://www.bloomberg.co.jp/news/articles/2023-12-22/S61V9JT0AFB500
business,国内で「Wi-Fi 7」正式解禁 6GHz帯の帯域幅が320MHzに拡大 - Impress Watch,総務省が12月22日に施行した電波法施行規則にて、新たに6GHz帯の帯域幅320MHz通信が可能になったことをうけ、無線LANルーターなどを開発する各社が最新の無線LAN規格「Wi-Fi 7」に対応した製品の開発表明を行なった。,https://www.watch.impress.co.jp/docs/news/1556848.html
business,中国、オンラインゲーム規制へ－テンセント時価総額7.7兆円消す - Bloomberg - ブルームバーグ,中国の国家新聞出版署は22日、オンラインゲームへの支出やコンテンツに制限を加える新たな規制案を発表した。同日の香港株式市場では、テンセント・ホールディングス（騰訊）株が急落し、約540億ドル（約７兆7000億円）相当の同社時価総額が吹き飛んだ。,https://www.bloomberg.co.jp/news/articles/2023-12-22/S61UB8T1UM0W00
general,明日23日(土)の天気予報 日本海側は引き続き大雪に警戒 太平洋側は青空広がる - ウェザーニュース,明日23日(土)は冬型の気圧配置が続きますが、西から少しずつ緩んでくる見込みです。北陸から北の日本海側は雪が降り、引き続き大雪や吹雪に警戒が必要です。太平洋側の各地は青空が広がりますが、風が冷たく防寒必須です。,https://weathernews.jp/s/topics/202312/220245/
general,ダイハツ工業不正問題 広がる不安 信頼揺らぐ車の“安全性” 「不正をしていた会社が『乗っても大丈夫です』と言ってもユーザーは信じられるのか」｜TBS NEWS DIG - TBS NEWS DIG Powered by JNN,ダイハツ工業が国の認証を不正に取得していた問題。いま、乗っている車は大丈夫なのか？自動車ユーザーには不安が広がっています。斉藤鉄夫 国土交通大臣「自分が乗っている車、大丈夫なのかと、ご不安をお持ちの方がたくさんいると思う。不正行為が確認された車種について、速やかに確認試験を行ってまいります」不正があったダイハツの...,https://www.youtube.com/watch?v=dQYLzQQlGSw
general,石川県に再び「顕著な大雪に関する気象情報」発表 大規模な交通障害の発生するおそれ(気象予報士 日直主任 2023年12月22日) - tenki.jp,今日22日15時42分、金沢地方気象台は、「顕著な大雪に関する石川県気象情報」を発表しました。,https://tenki.jp/forecaster/deskpart/2023/12/22/26685.html
general,Matt、スキンケアに１時間半 メーク落とさず寝落ちし「パパが僕の顔見て気絶」の過去 - ニッカンスポーツ,タレントMatt（29）が、21日放送のフジテレビ系「トークィーンズ」（木曜午後11時）に出演。美容へのこだわりを語った。毎日のスキンケアに1時間半かけている… - 日刊スポーツ新聞社のニュースサイト、ニッカンスポーツ・コム（nikkansports.com）。,https://www.nikkansports.com/entertainment/news/202312220000795.html
general,三浦颯太選手 加入のお知らせ | KAWASAKI FRONTALE - 川崎フロンターレ,今季、ヴァンフォーレ甲府に所属していた三浦颯太選手が、来季、完全移籍にて加入することが決定いたしましたので、お知らせいたします。               三浦 颯太（みうら・そうた）                  ポジション ...,https://www.frontale.co.jp/info/2023/1222_8.html
general,渋谷暴動事件 中核派活動家 大坂正明被告に懲役20年 東京地裁 - nhk.or.jp,1971年に東京 渋谷で起きた「渋谷暴動事件」で、新潟県警から派遣されていた警察官を殺害した罪などに問われた過激派「中核…,https://www3.nhk.or.jp/news/html/20231222/k10014296461000.html
general,北海道 千歳 トラックなど3台の事故 7人けが うち2人意識なし - nhk.or.jp,22日午後1時20分ごろ、北海道千歳市でトラックなど3台が関係する事故があり、警察によりますと、7人がけがをしていて、こ…,https://www3.nhk.or.jp/news/html/20231222/k10014296391000.html
general,縮みゆく日本 2045年、東京も人口減 - 日本経済新聞,国立社会保障・人口問題研究所が22日発表した地域別の将来推計人口は縮みゆく日本の姿を浮き彫りにした。2050年の総人口は東京を除い,https://www.nikkei.com/telling/DGXZTS00008500R21C23A2000000/
general,山本由伸 ドジャースと契約 米報道 大谷翔平とチームメートに - nhk.or.jp,プロ野球、オリックスから大リーグへの移籍を目指していた山本由伸投手が、ドジャースとピッチャーとしては大リーグ史上最高額の…,https://www3.nhk.or.jp/news/html/20231222/k10014296231000.html
general,ORICON NEWS：［紅白］水森かおり、今年は「演歌×ドミノ」で魅せる 「けん玉」に続き新たな奇跡誕生か？ - 毎日新聞,"大みそか恒例の『第74回NHK紅白歌合戦』（後7：20～11：45　総合ほか）の見どころが22日、発表された。

【一覧】『第74回NHK紅白歌合戦』出場歌手　これまでの出場回数も

　毎年、個性的なステージを届けてきた歌手の水森かおりは、宮崎県のご当地ソング｢日向岬｣のスペシャルバージョン「日",https://mainichi.jp/articles/20231222/orc/00m/200/104000c
general,「宇宙のクリスマスツリー」、ＮＡＳＡが公開…２５００光年の彼方 - 読売新聞オンライン,【ワシントン＝冨山優介】米航空宇宙局（ＮＡＳＡ）は、クリスマスツリーのように見える星団の画像をウェブサイトで公開した。 　星団は、地球から約２５００光年離れた位置にある誕生から１００万～５００万年の若い恒星の集まり。画,https://www.yomiuri.co.jp/science/20231222-OYT1T50108/
general,73歳・テリー伊藤「買っちゃった！」カスタム費1000万円“激シブ”高級外車披露「素晴らしい一台」 - スポニチアネックス Sponichi Annex,埼玉の中古車販売店で一目惚れしたイギリス・ランドローバーが生産している高級4WD車「レンジローバー」を、2カ月悩んで「ついに購入しちゃいました」というテリー。こ… - スポーツニッポン新聞社の公式サイト（www.sponichi.co.jp）。,https://www.sponichi.co.jp/entertainment/news/2023/12/22/kiji/20231222s00041000348000c.html
general,ジュリアーニ元NY市長、破産申請 210億円の賠償を命じられ - BBC.com,アメリカのトランプ前大統領の顧問弁護士だったジュリアーニ元ニューヨーク市長が21日、破産を申請した。名誉毀損（きそん）で15日に1億4800万ドル（約210億円）の支払いを命じられていた。,https://www.bbc.com/japanese/67798869
general,健康保険証、来年１２月２日に廃止しマイナ保険証に「一本化」…閣議決定 - 読売新聞オンライン,政府は２２日午前、現行の健康保険証を来年１２月２日に廃止する政令を閣議決定した。現行の健康保険証の新規発行が停止され、マイナンバーカードと一体化した「マイナ保険証」に事実上、一本化する。 　同日以降は、すでに発行済みの,https://www.yomiuri.co.jp/politics/20231222-OYT1T50107/
