keyword,judge
投資,0
スタートアップ,0
企業,0
マーケット,0
経済,0
映画,0
音楽,1
芸能,0
テレビ番組,0
芸術,0
栄養,0
フィットネス,0
メンタル,1
健康,1
医療技術,1
宇宙研究,1
遺伝学,0
環境,1
脳,0
物理,1
サッカー,0
バスケット,0
野球,1
オリンピック,0
テニス,0
人工知能,1
セキュリティ,0
拡張現実,1
IoT,0
ブロックチェーン,0
